"","measure_A","measure_B","code","month"
"1",0.668018427677453,371.308688190766,"u","September"
"2",51.6053249826655,304.941764101386,"g","September"
"3",62.6139722997323,495.499366545118,"v","June"
"4",92.0412413775921,380.860037519597,"q","June"
"5",98.2284284196794,417.523471754976,"d","January"
"6",5.00195426866412,288.132256711833,"o","June"
"7",86.6834247019142,378.113371902145,"p","October"
"8",44.9802651070058,173.908182885498,"r","January"
"9",80.2969306707382,12.7131806220859,"a","October"
"10",22.8498501703143,20.1650352682918,"q","January"
"11",61.4820601651445,23.8389347214252,"n","March"
"12",11.1180325737223,421.830295817927,"s","April"
"13",53.2400275347754,382.933489629067,"l","August"
"14",74.3999928701669,151.690085185692,"i","May"
"15",22.3973985528573,175.671033095568,"i","June"
"16",3.45886594150215,419.78199838195,"y","February"
"17",79.567380505614,144.00774682872,"g","July"
"18",96.039250632748,437.343926518224,"x","March"
"19",33.7283249013126,289.513611816801,"k","June"
"20",44.0991579787806,291.562933824025,"u","December"
"21",8.7865496519953,177.1469139494,"m","July"
"22",10.228205146268,393.840378033929,"r","November"
"23",15.9191254060715,31.8024279549718,"u","January"
"24",61.3925164798275,243.145768996328,"s","May"
"25",0.944261462427676,435.672387829982,"e","June"
"26",85.1935456041247,446.234512724914,"b","January"
"27",44.019916607067,88.9400757150725,"z","May"
"28",0.605658860877156,469.162271823734,"k","March"
"29",49.5476828655228,392.591238720343,"f","February"
"30",29.9676141235977,102.531605167314,"d","July"
"31",35.5265453690663,192.794320755638,"x","December"
"32",28.4944685408846,73.5841487767175,"r","July"
"33",72.0022695837542,446.395020117052,"c","August"
"34",7.50543223693967,100.246427115053,"e","May"
"35",35.6157578993589,128.833884140477,"w","August"
"36",75.0247722025961,445.821685832925,"o","December"
"37",28.2112259883434,287.201078142971,"q","August"
"38",76.9435646245256,35.4082594858482,"b","January"
"39",74.4142187992111,200.972826918587,"q","October"
"40",75.7488374598324,217.752150725573,"z","December"
"41",57.1674641454592,321.872434346005,"e","March"
"42",90.23046286311,55.1666201790795,"p","January"
"43",53.0221157241613,266.866143909283,"c","December"
"44",67.2647431259975,142.705617239699,"f","April"
"45",72.6991968927905,283.973940531723,"h","January"
"46",38.3664967259392,46.8547625932842,"l","July"
"47",74.0911171305925,128.906746744178,"m","December"
"48",25.7986591663212,247.172946343198,"t","December"
"49",50.1379710854962,416.077139554545,"d","July"
"50",55.4425955284387,244.982252479531,"w","February"
"51",98.8638929091394,93.1912907399237,"b","July"
"52",10.3844153927639,260.077005135827,"e","July"
"53",93.6967025976628,432.8510586638,"o","September"
"54",30.0215168390423,473.212263081223,"y","September"
"55",81.9548307452351,31.1147944303229,"u","July"
"56",97.8545741643757,269.090791116469,"y","March"
"57",85.0372272543609,236.310105537996,"f","December"
"58",85.7540113851428,365.460455650464,"t","June"
"59",23.9455907139927,100.370787433349,"g","March"
"60",5.84616390988231,498.785832198337,"u","May"
"61",48.7325909314677,130.050007253885,"b","May"
"62",1.06118593830615,246.744588250294,"n","August"
"63",99.0776187973097,91.3015987025574,"x","June"
"64",62.1948051266372,380.033232504502,"i","July"
"65",30.8992784237489,499.621187569574,"d","November"
"66",29.4958136742935,366.493925568648,"w","October"
"67",16.7696284363046,305.969947366975,"z","April"
"68",54.3844872619957,395.930804079399,"c","August"
"69",53.0368600971997,403.440786642022,"r","July"
"70",73.6792946001515,218.550503603183,"n","June"
"71",68.2896271115169,23.5288119874895,"c","March"
"72",29.4805697863922,381.577214458957,"x","July"
"73",9.41000210586935,429.872364504263,"r","September"
"74",7.68068921752274,85.6007932452485,"k","March"
"75",66.770953941159,201.716673211195,"i","July"
"76",17.2118411399424,173.092356882989,"b","May"
"77",21.1833539186046,74.2920560296625,"d","November"
"78",16.0553460009396,377.030556788668,"r","May"
"79",57.68330716528,242.407931596972,"s","November"
"80",61.6676026722416,378.156278515235,"c","August"
"81",7.96386571601033,134.692336665466,"c","April"
"82",45.368601125665,47.3842872306705,"x","May"
"83",99.582744250074,162.607626640238,"p","February"
"84",10.2623602375388,483.075069147162,"s","July"
"85",52.4568454595283,114.882041583769,"z","April"
"86",71.4042692212388,14.7662626113743,"k","December"
"87",16.1106282612309,442.43967870716,"p","August"
"88",29.2284069117159,350.215349346399,"l","July"
"89",68.6801045201719,71.5687173651531,"g","March"
"90",98.0541805038229,62.2039778390899,"t","January"
"91",38.7543145334348,124.156044330448,"t","April"
"92",39.8340069921687,200.208996539004,"q","October"
"93",0.885313842445612,430.247788783163,"f","August"
"94",51.7250010510907,353.439868427813,"k","August"
"95",57.4284529313445,418.364649056457,"s","November"
"96",23.7032262142748,306.074510095641,"i","August"
"97",94.099010550417,141.169706592336,"h","December"
"98",23.9607467781752,309.51627145987,"s","October"
"99",34.1730653308332,139.02381027583,"p","October"
"100",96.1125157540664,77.1368282148615,"c","January"
